Year,Coal,Natural Gas,Oil,Nuclear,Hydro,Wind,Solar,Biomass,Total
1996,19.951819183530638,20.77618236566945,33.95460696326067,6.7317835187234145,3.29413271474621,0.030961773179002925,0.005131861016224422,0.7669641355863326,85.51158251571195
1997,20.373140195964375,20.900442327523066,34.406702081083594,6.271997433659425,3.3739734168197706,0.031480418707238375,0.005049969617029351,0.7977314166922472,86.16051726006673
1998,20.572955210000345,20.54720377709513,34.981194131428445,6.721540269540764,3.0528158220265027,0.02896908246525621,0.004971490359467408,0.8056339367145716,86.71528371963048
1999,20.541416784885346,20.618302572304618,35.95394794105036,7.265807569299369,3.000838668529065,0.04296909958598015,0.004913483951704233,0.8190163561996994,88.24721247580615
2000,21.45055121375759,21.441580693404095,36.356171196763476,7.52160559111007,2.585277351172046,0.05355015079030989,0.004913483951704233,0.8362271985971967,90.24987687954652
2001,20.81855434046963,20.49530169071362,36.31346141994161,7.628217956437154,1.9816797326966131,0.06414485056117214,0.005415068771774041,0.8467468312521301,88.15352189084372
2002,20.808788791115617,21.159072426889267,36.31144484423644,7.6761039521164705,2.413435074244457,0.09777150635564799,0.005623209411394845,0.9257276736341427,89.39796747800344
2003,21.20488042831401,20.547579112674775,36.87383744035022,7.4744395573153435,2.5100259795950426,0.1050632530256424,0.005677803677524892,0.978008507736929,89.69951208268951
2004,21.342884496665867,20.6307534771239,38.21406525529348,7.67528503812452,2.427841136219523,0.13210788760981446,0.006455771969878062,1.0415767063621024,91.47096976936909
2005,21.65671622337281,20.30882815046318,38.272317337254236,7.5502198108454825,2.4437894862127627,0.1650145815197003,0.006868641107486542,1.0947651701393006,91.49851940091496
2006,21.324803558151924,20.014865324485942,37.781801504642296,7.560094548731755,2.6051257790519515,0.2450327149581836,0.0075203601594139805,1.228650783539975,90.76789457372145
2007,21.611993282987402,21.29648278259696,37.54952678725038,7.703346490915365,2.2055878788041015,0.3157868838627246,0.009939568577301688,1.355254886695554,92.04791856168977
2008,21.268066467076274,21.4586584622779,35.06122250129183,7.640320822809859,2.2602401513419115,0.5034683222512938,0.014702918297148293,1.5595773398288881,89.7662569851751
2009,18.706643398061424,21.074345537997065,33.24190611606598,7.53088661635218,2.4317821598057856,0.6683907759468997,0.018592759758914144,1.6609008856246223,85.33344824961289
2010,19.792270852907208,22.117280276729154,33.75601008378773,7.547943912376185,2.2860871242128558,0.8495550238161944,0.026771663253521816,1.8130107474878328,88.1889296845707
2011,18.674893420165166,22.45908474054448,33.08951645858885,7.35284789021883,2.79420278336847,1.0730605372109738,0.04189086282991172,1.9045141496634248,87.39001084259012
2012,16.50932313843439,23.47972454584571,32.32011605387646,7.121723064557274,2.409869386237838,1.2509218319794009,0.07947219077718284,1.9200735155104882,85.09122372721875
2013,17.136699971951092,24.124619314506887,32.85357368894132,7.247910886433612,2.3261013091445473,1.479484139274476,0.13997287407417436,2.0728965149750223,87.38125869930114
2014,17.097750375208935,24.644551220138023,33.073752364243795,7.285505862947416,2.2205023498825036,1.5931152799409027,0.25366202114836417,2.126562678580858,88.2954021520908
